student_preference,lecturer_topics,match
I want to work on projects related to Software Project Management.,"['Fiber Laser', 'Energy Management Algorithm', 'Carbon dioxide capture and utilisation']",0
I am excited to explore the latest advancements in Consumers Electronics System Design.,"['High-speed computer and Telecommunications networks', 'Photonics', 'Process synthesis and design']",0
I am fascino collaborate on research in Transportation Systems.,"['Device-to-Device Communication', 'Programming in C++, Java and Python', 'Transportation Systems']",1
I am passionate about User Experience/ User Interface and want to explore more in this field.,"['Advanced Energy Materials', 'Engineering drawing', 'Robotics and Automatic System']",0
I want to work on projects related to Digital holography and encryption.,"['Energy harvesting', 'Deep Learning for Data Science', 'Electrical circuits I & II']",0
I want to work on projects related to Quantum Computing.,"['Human-Robot Interaction', 'Radiological risks associated with Naturally Occurring Radioactive Materials (NORM)', 'Quantum Computing']",1
I am eager tuild a career in Behavioral Science.,"['Introduction to Microcontroller', 'IoT Security', 'Behavioral Science']",1
I am passionate about Count data modelling and want to explore more in this field.,"['Software Engineering & Development', 'Ethical Hacking and Penetration Testing', 'Count data modelling']",1
I want to bated by Public Health and its potential to solve real-world problems.,"['Agile Methodologies', 'Green solvent', 'Green chemistry']",0
I am fascino collaborate on research in Fiber Laser.,"['Medical imaging', 'Statistical methods in data science', 'Cryptography']",0
I am excited to explore the latest advancements in SDN.,"['Business Computing', 'Lithium-ion battery', 'SDN']",1
I want to work on projects related to Solar Cell Materials.,"['Bioinformatics', 'Device-to-Device Communication', 'Solar Cell Materials']",1
I am eager tuild a career in Mathematics.,"['Electrical circuits I & II', 'Digital transformation', 'Mathematics']",1
I want to work on projects related to Resource conservation via process integration techniques.,"['Fault Tolerance', 'Mobile computing', 'Statistics']",0
I am eager tuild a career in Startup Foundry.,"['Nanomaterial for Ultrashort Fiber Laser', 'Python Programming', 'Concrete structure design']",0
I want to contribute to innovative solutions in Fermentation Technology.,"['Operating Systems', 'Green and Sustainable Extraction of Bioactive Compounds', 'Psychometrics']",0
I am interested in learning about NLP and its applications.,"['Smart Cities', 'Artificial Neural Network', 'Aviation Technology']",0
I want to bated by Automated Test and Measurement Systems and its potential to solve real-world problems.,"['Properties and Application of Materials', 'Engineering Mathematics IV', 'Automated Test and Measurement Systems']",1
I want to contribute to innovative solutions in Information and Communication Technology/ Information Technology/ Multimedia/ Information System.,"['Radiation Detection and Measurement', 'Separations', 'Digital image processing and computer vision']",0
I am passionate about Cloud Infrastructure and Service and want to explore more in this field.,"['Device-to-Device Communication', 'Surface Chemistry & Material Functionalization', 'Cloud Infrastructure and Service']",1
I am interested in learning about 3D Printing of Green Polymers and Green Concrete and its applications.,"['Electrical actuators, sensors and drives', 'Sustainable Development', '3D Printing of Green Polymers and Green Concrete']",1
I am looking to enhance my skills in Programming concepts and principles.,"['AI applications for industrial optimization', 'Robotic Process Automation', 'Programming concepts and principles']",1
I want to gain hands-on experience in Engineering Education.,"['Automated Test and Measurement Systems', 'Energy Optimization', 'Engineering Education']",1
I am fascino collaborate on research in Drying Technology of Natural Product.,"['Cellular Networks', 'Marine Engineering', 'Drying Technology of Natural Product']",1
I want to gain hands-on experience in Logic Design.,"['Power Electronics', 'Optoelectronics', 'Logic Design']",1
I am interested in learning about Sustainable Value Chain and its applications.,"['Solar Energy', 'Solid Waste Management', 'Net Zero Strategy']",0
I am looking to enhance my skills in Computer-Aided Design and Simulation.,"['Waste water treatment', 'Digital Marketing', 'Process synthesis and design']",0
I am excited to explore the latest advancements in Urban Planning.,"['Green chemistry', 'Preparation of Binary and Ternay Nanocomposite Based and Conductive Polymers, Carbonaceouse Materials and Inorganic Nanostructures', 'Urban Planning']",1
"I am excited to explore the latest advancements in Separation Processes: Membrane Technology, Adsorption, Absorption.","['Computer-aided molecular design', 'Advanced Energy Materials', 'Process integration and optimisation']",0
I want to bated by Computer-aided molecular design and its potential to solve real-world problems.,"['Earthquake engineering', 'Carbon capture in construction materials', 'Computer-aided molecular design']",1
I am excited to explore the latest advancements in Neuroscience.,"['Computer Graphic', 'Network and Communication', 'Signal & Systems']",0
I want to work on projects related to User Interface Design.,"['Information and Data Analytics', 'Fluid Drive System', 'Microprocessor Technology']",0
I am looking to enhance my skills in 5G Wireless; Optical Communication.,"['Internet of Things, Big-Data, Cloud Computing, and Data Center Networking', 'Glass materials for gamma ray shielding', 'Techno-economic analysis & Circular Economy']",0
I want to bated by Computing and its potential to solve real-world problems.,"['Augmented Reality', 'Design, creative thinking, design thinking, computational thinking', 'Computing']",1
I am excited to explore the latest advancements in Digital Electronics.,"['Energy efficiency', 'Sentiment Analysis', 'Digital Electronics']",1
I want to gain hands-on experience in Additive Manufacturing.,"['Enterprise Systems and e-Commerce Application', 'Thermoelectric', 'Model checking and Theorem proving']",0
I am looking to enhance my skills in Energy planning for greenhouse gases emission reduction.,"['Techno-economic analysis & Circular Economy', 'Deep Learning for Data Science', 'Energy planning for greenhouse gases emission reduction']",1
I want to contribute to innovative solutions in Thermoelectric.,"['Natural Product Processing', 'Wireless Networks / Wireless Communication/ Mobile Cellular Networks', 'Mobile and Web Development']",0
I want to bated by Psychometrics and its potential to solve real-world problems.,"['Web Development, Capstone Project', 'Programming for Engineers', 'Automated Test and Measurement Systems']",0
I want to gain hands-on experience in Electrochemical Sensors for Bio-anayltes and water Pollutants.,"['Human factors in Software Systems', 'Human Computer Interaction', 'Healthcare']",0
I am fascino collaborate on research in Sentiment Analysis.,"['Wastewater treatment technologies', 'Nanomaterials', 'Sentiment Analysis']",1
I am eager tuild a career in Bioremediation Engineering.,"['Engineering Mathematics IV', 'Computer-aided molecular design', 'Industrial Automation']",0
I am passionate about Medical Physics and want to explore more in this field.,"['Design of Computer & Communication Systems.', 'Radiation Physics, Radiation Protection, Radiation Technology', 'Medical Physics']",1
I want to gain hands-on experience in Wireless sensor networks.,"['Advanced Business Analytics and Visualization', 'Information Security Analysis', 'Computer Systems Engineering']",0
I want to gain hands-on experience in Image and Signal Processing.,"['Java Programming', 'Industrial Automation', 'Antenna and Propagation']",0
"I am looking to enhance my skills in Instrumentation, Measurement and Controls.","['Computer Network', 'Chemical product design and molecular design', 'Instrumentation, Measurement and Controls']",1
I am excited to explore the latest advancements in Aerodynamic Performance Analysis.,"['Hydrogen energy', 'E-Learning', 'Big Data']",0
I want to bated by Antenna Designs and Implantable Antennas and its potential to solve real-world problems.,"['Human-Computer Interaction / Future Interaction Design', 'Software Project Management', 'Network modelling and simulation']",0
I am passionate about Robotics and Automatic System and want to explore more in this field.,"['Digital Communications', 'Concrete technology', 'Robotics and Automatic System']",1
I am passionate about Software Engineering & Development and want to explore more in this field.,"['Cloud Infrastructure and Service', 'Numerical solutions for non-linear pdes.', 'Software Engineering & Development']",1
I am eager tuild a career in VR & AR.,"['Microalgae', 'Engineering Education', 'Text Analytics']",0
I am interested in learning about Python Programming and its applications.,"['Generative AI in Robotics: Creative Robotics, Social Robots, CoBots', 'Individual Research Project.', 'Python Programming']",1
I want to gain hands-on experience in User Experience/ User Interface.,"['SDN', 'Web Development, Capstone Project', 'Mass Transfer and Separation Processes']",0
I am looking to enhance my skills in Computer Organization.,"['Digital healthcare', 'Engineering Mathematics IV', 'Computer Organization']",1
I want to contribute to innovative solutions in Chemical Engineering Principles.,"['Programming', 'Energy harvesting', 'Sustainable technology']",0
"I want to bated by Electrical actuators, sensors and drives and its potential to solve real-world problems.","['Advanced Micro- Technologies', 'Mathematics', 'OOP']",0
I want to work on projects related to Human factors in Software Systems.,"['Hydrogen/ hydrogen isotope splitting', 'Mobile system', 'Photonics']",0
I want to contribute to innovative solutions in Statistical Analysis.,"['Industrial Internet of Things', 'Sentiment Analysis', 'Smart Grid; Distribution Network Communication']",0
I am eager tuild a career in Financial Technology.,"['Data Communication and Networking', 'Introduction to Networking', 'Financial Technology']",1
"I am excited to explore the latest advancements in Engineering Education, Impact of Technology on Society, Creative Robotics.","['Engineering Education', 'Liquid thermophysical characterisation', 'Emerging databases']",0
I am excited to explore the latest advancements in Energy storage technologies.,"['Synthesis and Characterization of Carbonaceous Materiels', 'Activated carbon', 'Computing']",0
I want to bated by Data Management and its potential to solve real-world problems.,"['Digital System', 'Distributed System', 'Structural System']",0
I am eager tuild a career in Formal Methods in Software Engineering.,"['Computer Architecture', 'Water Quality Prediction Models', 'Renewable energy']",0
I am excited to explore the latest advancements in Mobile Commerce.,"['Monte Carlo methods', 'Distributed haptics', 'Human-Computer Interaction / Future Interaction Design']",0
"I want to work on projects related to AI and Learning Algorithms: Machine Learning, Deep Learning.","['Integrated process and product design', 'Engineering Project Management and Supervision', 'The Internet of Things: Data Science, Embedded Systems, Cloud Solutions']",0
"I am fascino collaborate on research in Separation Processes: Membrane Technology, Adsorption, Absorption.","['Thermodynamics', 'Radiation physics', 'Separation Processes: Membrane Technology, Adsorption, Absorption']",1
I am interested in learning about Optical and radio communications and its applications.,"['Energy harvesting', 'Introduction to Environmental Engineering', 'Optical and radio communications']",1
I am eager tuild a career in Computer-aided molecular design.,"['Sustainable Development', 'Process Intensification', 'Advanced Fluid Dynamics']",0
I am looking to enhance my skills in Technology Transfer.,"['Computer Organization', 'Process Intensification', 'Technology Transfer']",1
I am eager tuild a career in Nanoparticles.,"['Energy policy', 'Intelligent transportation systems', 'Photonics']",0
I am fascino collaborate on research in Cloud Computing.,"['Tiny/Embedded Machine Learning', 'Medical Physics', 'Generative AI ethics and management']",0
I want to bated by Liquid thermophysical characterisation and its potential to solve real-world problems.,"['Engineering Design with Constraints.', 'Electricity and Magnetism', 'Liquid thermophysical characterisation']",1
I want to contribute to innovative solutions in Green and Sustainable Extraction of Bioactive Compounds.,"['Embedded Systems: for IoT applications', 'Renewable Energy Conversion and Integrations', 'Epidemiology']",0
I am looking to enhance my skills in Biomass energy & Waste management.,"['Cellular Networks', 'Biochemical Processes', 'Chemical Process Control']",0
I am passionate about Medical imaging and want to explore more in this field.,"['Net Zero Strategy', 'Radiation processing of polymer and polymer blends', 'Digital Communications']",0
I am fascino collaborate on research in Resource conservation via process integration techniques.,"['Hardware Security', 'Bio-Based Nanomaterials', 'Mobile programming']",0
I am looking to enhance my skills in Digital Signal Processing and Generation.,"['User Experience/ User Interface', 'Information System Development', 'Digital Signal Processing and Generation']",1
I am passionate about Concrete technology and want to explore more in this field.,"['Pharmaceutical Technology', 'Autonomous Vehicles', 'Concrete technology']",1
I want to work on projects related to Empirical Software Engineering.,"['Introduction to Microcontroller', 'Design Project', 'Empirical Software Engineering']",1
I am fascino collaborate on research in Digital Forensics.,"['Energy Informatics', 'Electrochemical Sensors for Bio-anayltes and water Pollutants', 'Digital Forensics']",1
I am passionate about Low carbon cements and want to explore more in this field.,"['Technopreneurship/ Entrepreneurship', 'Affordable housing', 'Sustainability']",0
I am interested in learning about Biochemical Processes and its applications.,"['Low carbon cements', 'Catalyst', 'Biochemical Processes']",1
I am eager tuild a career in Sustainable technology.,"['Energy storage system and renewable energy integration', 'Electrochemical Sensors for Bio-anayltes and water Pollutants', 'Sustainable technology']",1
I want to contribute to innovative solutions in Energy Engineering.,"['Object-orineted programming', 'Multimedia', 'Energy Engineering']",1
I want to bated by Chemical Process Control and its potential to solve real-world problems.,"['Additive Manufacturing', 'Programming for Data Science', 'Chemical Process Control']",1
I am eager tuild a career in Model checking and Theorem proving.,"['Computer Systems Engineering', 'Resource conservation via process integration techniques', 'Model checking and Theorem proving']",1
I am eager tuild a career in Discrete Mathematics.,"['Fermentation Technology', 'Engineers in Society', 'IST2024 Applied Statistics']",0
I am interested in learning about Information Security Analysis and its applications.,"['Phase Change Materials', 'Computer Network', 'Intelligent Control: Neural Networks, Fuzzy Controller, expert Systems']",0
I am excited to explore the latest advancements in Thin Film Nanomaterials.,"['Structural engineering', 'Human Computer Interaction', 'Thin Film Nanomaterials']",1
I want to bated by Synthesis and Characterization of Carbonaceous Materiels and its potential to solve real-world problems.,"['Green solvent', 'Computing', 'Engineering design']",0
I am passionate about Mathematics and want to explore more in this field.,"['Antenna and Propagation', 'Robotics', 'Cellular Networks']",0
I am excited to explore the latest advancements in Text Analytics.,"['Logic Design and Computer System Engineering', 'Electrical Drive Systems', 'Text Analytics']",1
I want to bated by OOP and its potential to solve real-world problems.,"['Psychometrics', 'Additive Manufacturing', 'OOP']",1
I want to contribute to innovative solutions in Optimization technique.,"['Radiation processing of polymer and polymer blends', 'Energy planning for greenhouse gases emission reduction', 'Electrical circuits I & II']",0
"I want to contribute to innovative solutions in Heat transfer fluids, phase change materials and energy harvesting.","['Embedded system applications', 'Wireless Networks / Wireless Communication/ Mobile Cellular Networks', 'Heat transfer fluids, phase change materials and energy harvesting']",1
I am interested in learning about Energy Conversions and its applications.,"['Sustainable Value Chain', 'Model checking and Theorem proving', 'Glass materials for gamma ray shielding']",0
I am fascino collaborate on research in High-speed computer and Telecommunications networks.,"['Web Fundamentals and Programming', 'Statistics', 'High-speed computer and Telecommunications networks']",1
I am interested in learning about Quantum Computing and its applications.,"['Chemical Process Modelling', 'Sensors and embedded systems', 'Information Systems and Design']",0
I am passionate about Numerical Methods and want to explore more in this field.,"['Research Methods in Science and Technology', 'AI in Telecommunications', 'Mobile App Development']",0
I am looking to enhance my skills in Communication systems.,"['Mobile computing', 'Psychometrics', 'Information Systems Management and Strategy']",0
I want to gain hands-on experience in Machine Learning Theory.,"['Entrepreneurship', 'Automated Test and Measurement Systems', 'Optoelectronics']",0
"I am looking to enhance my skills in Electronic Testing, Instrumentation and Measurement.","['Web Fundamentals and Programming', 'Programming concepts and principles', 'Cloud Infrastructure and Service']",0
I am fascino collaborate on research in Information System Development.,"['Electrochemical Conversions', 'Multimedia', 'OOP']",0
I want to work on projects related to Process and plant design.,"['Fiber Laser', 'Heat Transfer', 'Process and plant design']",1
I am eager tuild a career in Startup Foundry.,"['Next-generation wireless communications', 'Luminescence dosimetry', 'Wastewater treatment technologies']",0
I want to gain hands-on experience in Rubber recycling.,"['Chemical Engineering', 'Programming Paradigms', 'Rubber recycling']",1
I want to work on projects related to Radiation Shielding: Development of Pb free material for shielding of ionizing radiation.,"['LiFi and free space optics', 'Computational physics', 'Radiation Shielding: Development of Pb free material for shielding of ionizing radiation']",1
I am fascino collaborate on research in Artificial Intelligence; Machine Learning; Optimized Controller.,"['Nanomaterial for Ultrashort Fiber Laser', 'Computational Fluid Dynamic', 'Applied Machine Learning']",0
I want to contribute to innovative solutions in Advanced Fluid Dynamics.,"['Database Management Systems', 'Optical Fiber for sensing', 'Advanced Fluid Dynamics']",1
I want to gain hands-on experience in Separation Processes.,"['Process plant engineering', 'Organic Chemistry', 'Thermochemical Treatment']",0
I am looking to enhance my skills in Blockchain.,"['Ubiquitious computing', 'Enterprise Systems and e-Commerce Application', 'Blockchain']",1
I want to contribute to innovative solutions in Network modelling and simulation.,"['Photonics', 'CHE2112 Chemical Engineering Laboratory 1', 'Fuel & Combustion']",0
"I want to contribute to innovative solutions in Preparation of Binary and Ternay Nanocomposite Based and Conductive Polymers, Carbonaceouse Materials and Inorganic Nanostructures.","['Catalyst', 'Supply Chain Management', 'Preparation of Binary and Ternay Nanocomposite Based and Conductive Polymers, Carbonaceouse Materials and Inorganic Nanostructures']",1
I am fascino collaborate on research in Radiation Dosimetry: Development of carbon dosimeter..,"['Radiation Physics: Detection and removal of toxic metals in food and environmental samples', 'Digital image processing and computer vision', 'Radiation Dosimetry: Development of carbon dosimeter.']",1
"I want to work on projects related to Electrochemical Energy storage Devices  (Supercapacitor, Fuel Cell, Batteries).","['Electricity and Magnetism', 'Quantum Computing', 'Cybersecurity']",0
I want to gain hands-on experience in Mobile computing.,"['Sensors and embedded systems', 'Artificial Intelligence Machine Learning, Neural Networks', 'Mobile computing']",1
"I am excited to explore the latest advancements in Electronic Testing, Instrumentation and Measurement.","['Cryptography', 'Biomass conversion technology', 'Electronic Testing, Instrumentation and Measurement']",1
I am looking to enhance my skills in Information Systems and Design.,"['Psychology and Cybersecurity', 'Synthesis & development of 2D nanomaterials, composites, & intermetallic compounds', 'Information Systems and Design']",1
I want to gain hands-on experience in Introduction to Microcontroller.,"['AI applications in robotics', 'Energy Conversions', 'Introduction to Microcontroller']",1
I am looking to enhance my skills in Data Mining.,"['Thermodynamics', 'Energy Management System; Energy Transition; Power Quality', 'Data Mining']",1
I am passionate about Modern Physics and want to explore more in this field.,"['Instrumentation, Measurement and Controls', 'Numerical Methods for Civil Engineers', 'Design of ionic liquids for carbon dioxide removal']",0
I am interested in learning about Activated carbon and its applications.,"['Data Mining and Knowledge Discovery', 'Project Supervision - Individual, Group, Capstone, Research', 'Computer and Machine Vision']",0
I am interested in learning about Digital image processing and computer vision and its applications.,"['Tiny/Embedded Machine Learning', 'Polymer recycling', 'Distributed haptics']",0
I am eager tuild a career in Renewable Energy Conversion and Integrations.,"['Embedded system applications', 'Computer-Aided Design and Simulation', 'Energy harvesting']",0
I am eager tuild a career in Numerical Methods.,"['Programming concepts and principles', 'Mobile radio network', 'Numerical Methods']",1
I am eager tuild a career in Big Data Analytics and Visualization.,"['Multimedia', 'Fermentation Technology', 'Game Development']",0
I am fascino collaborate on research in Networks.,"['Epidemiology', 'Renewable energy', 'Networks']",1
I am fascino collaborate on research in Network and Communication.,"['Technology adoption', 'CHE2112 Chemical Engineering Laboratory 1', 'Network and Communication']",1
I am fascino collaborate on research in Engineering design.,"['Thermoelectric', 'Text Analytics', 'Engineering design']",1
I want to gain hands-on experience in Education Technology.,"['Tele-robotics', 'Computer Systems Engineering', 'Battery Energy Storage Management']",0
I am excited to explore the latest advancements in Low carbon cements.,"['Ontology Engineering', 'Digital Forensics', 'Microgrid/Smart Grid; Internet of Energy']",0
I am excited to explore the latest advancements in Digital System.,"['User Experience/ User Interface', 'Housing Design', 'User Interface Design']",0
"I am looking to enhance my skills in Project Preparation, Planning and Problem Solving.","['Surface Chemistry & Material Functionalization', 'Renewable Energy System Management', 'Project Preparation, Planning and Problem Solving']",1
I am excited to explore the latest advancements in Java Programming.,"['Energy planning for greenhouse gases emission reduction', 'Catalyst', 'VR & AR']",0
I am eager tuild a career in Engineering Education.,"['Design of integrated biorefineries', 'Advanced Deep Learning', 'Process and plant design']",0
I want to contribute to innovative solutions in Organic Chemistry.,"['3D Printing', 'Water Quality Prediction Models', 'Statistics']",0
I am excited to explore the latest advancements in Ubiquitious computing.,"['Digital Communications', 'Pharmaceutical Technology', 'IoT Security, Privacy and ML']",0
"I want to work on projects related to Web Development, Capstone Project.","['User-Centered Systems Development', 'Housing planning and Development', 'GCM5001/ MRM5013/ RSM5010 Research Methodology']",0
I am looking to enhance my skills in Sustainability.,"['Mobile and Web Development', 'Chemical Process Modelling', 'Radiation physics']",0
I am fascino collaborate on research in Neuroscience.,"['Surface & material Characterization', 'Mobile applications', 'Clustering Algorithms & Optimization']",0
I am excited to explore the latest advancements in Concurrent Programming.,"['Cellular Networks', 'Reinforcement Learning', 'Concurrent Programming']",1
I am passionate about Green and Sustainable Extraction of Bioactive Compounds and want to explore more in this field.,"['Fault Tolerance', 'Sustainable construction materials', 'Green and Sustainable Extraction of Bioactive Compounds']",1
I want to work on projects related to Mobile Technology with Learning Disabilities People.,"['Machine Learning/ Deep Learning', 'ICT in Environment', 'Waste water treatment']",0
I am eager tuild a career in Digital holography and encryption.,"['Energy storage system and renewable energy integration', 'Mobile and Web Development', 'Solar Cell Materials']",0
I am fascino collaborate on research in Polymer recycling.,"['Chemical Engineering Lab I& II', 'Quantum physics', 'Polymer recycling']",1
I am fascino collaborate on research in Cellular Networks.,"['Information System Development', 'Technology for Neurodivergent', 'Cellular Networks']",1
I am passionate about Digital image processing and computer vision and want to explore more in this field.,"['ICT in Environment', 'Mechanics', 'Sustainable technology']",0
I want to contribute to innovative solutions in Information Visualization & Analytics.,"['Quantum Chemistry', 'Computational intelligence', 'Information and Data Analytics']",0
I want to gain hands-on experience in Device-to-Device Communication.,"['Mobile computing', 'Logic Design', 'Device-to-Device Communication']",1
I am excited to explore the latest advancements in User Interface Design.,"['Electrical Circuits', 'Resource Recovery from Waste / Wastewater – Bioplastics and Bio-flocculants', 'User Interface Design']",1
I am excited to explore the latest advancements in Ultrasound Indoor Localization.,"['Fault Tolerance', 'Brain Computer Interface', 'Ultrasound Indoor Localization']",1
I am passionate about Introduction to Statistic and want to explore more in this field.,"['Community Service for Planetary Health', 'Web Fundamentals and Programming', 'Introduction to Statistic']",1
I am eager tuild a career in Separations.,"['Engineering Education, Impact of Technology on Society, Creative Robotics', 'Radiation Detection and Measurement', 'Advanced Energy Materials']",0
I am eager tuild a career in Environmental Science.,"['Carbon dioxide capture and utilisation', 'Sustainable smart city', 'Environmental Science']",1
I want to work on projects related to Environmental issues such as air pollution and waste management.,"['Microalgae', 'Computational physics', 'Fuel Cell and Hydrogen Technology']",0
I am excited to explore the latest advancements in GCM5001/ MRM5013/ RSM5010 Research Methodology.,"['Applied Artificial Intelligence', 'Hardware Oriented Computing', 'GCM5001/ MRM5013/ RSM5010 Research Methodology']",1
I am eager tuild a career in E-Commerce Design.,"['Technology Transfer', 'Data Communication and Networking', 'E-Commerce Design']",1
I want to gain hands-on experience in Biochemical Processes.,"['OOP', 'Luminescence dosimetry', 'Radiation Dosimetry: Development of carbon dosimeter.']",0
I am interested in learning about Individual Research Project. and its applications.,"['Network Analysis', 'Web Fundamentals and Programming', 'Quantum capacitance and energy storage']",0
I am looking to enhance my skills in Cellular Networks.,"['Hydrological Cycle Analysis', 'Data Management', 'Cellular Networks']",1
I am excited to explore the latest advancements in Solid state.,"['Synthesis and Characterization of Carbonaceous Materiels', 'Big Data Analytics in the Cloud', 'Master thesis compilation']",0
I want to gain hands-on experience in Individual Research Project..,"['Internet of Things', 'Quantum capacitance and energy storage', 'Individual Research Project.']",1
I am looking to enhance my skills in Advanced Micro- Technologies.,"['Civil Engineering / water resources management', 'Deep Learning and Neural Networks', 'Introduction to Environmental Engineering']",0
I am looking to enhance my skills in Energy storage technologies.,"['E-Commerce Design', 'Smart Grid; Distribution Network Communication', 'Energy storage technologies']",1
I am interested in learning about Artificial Intelligence; Machine Learning; Optimized Controller and its applications.,"['Internet of Things, Big-Data, Cloud Computing, and Data Center Networking', 'Embedded Systems: for IoT applications', 'Community Service for Planetary Health']",0
I want to gain hands-on experience in Process Design and Simulation.,"['Nanomaterials', 'Introduction to Microcontroller', 'Mobile computing']",0
I want to work on projects related to Digital image processing and computer vision.,"['Process Intensification', 'Embedded Systems: for IoT applications', 'Sustainable Energy Advancements']",0
I want to bated by Information Security Analysis and its potential to solve real-world problems.,"['Education Technology', 'Human-Computer Interaction / Future Interaction Design', 'Information Security Analysis']",1
I am eager tuild a career in Dye-sensitized Solar Cell.,"['AI applications in robotics', 'Introduction to Environmental Engineering', 'Dye-sensitized Solar Cell']",1
I want to contribute to innovative solutions in Smart Energy-Efficient Buildings.,"['Liquid thermophysical characterisation', 'Multimedia', 'Smart Energy-Efficient Buildings']",1
I am eager tuild a career in Green Machine Learning.,"['Design and Innovative Thinking', 'IoT Security, Privacy and ML', 'Engineering Education, Impact of Technology on Society, Creative Robotics']",0
I am looking to enhance my skills in Structural dynamics.,"['Fiber Laser', 'Cellular Networks', 'Structural dynamics']",1
I am passionate about Internet-of-things applications and want to explore more in this field.,"['Surface & material Characterization', 'Environmental issues such as air pollution and waste management', 'Internet-of-things applications']",1
I am fascino collaborate on research in Software Project Management.,"['Data Privacy and security', 'Machine Learning/ Deep Learning', 'Reinforcement Learning']",0
I am eager tuild a career in Chemical Process Control.,"['Electrochemical Energy storage Devices \xa0(Supercapacitor, Fuel Cell, Batteries)', 'Ontology Engineering', 'Operations Research']",0
I am looking to enhance my skills in Web development.,"['Psychology and Cybersecurity', 'Programming for Data Science', 'Web development']",1
I am excited to explore the latest advancements in Visible Light Positioning.,"['Thermochemical conversion [Wet torrefaction, hydrothermal pretreatment, pyrolysis]', 'Nanofluids', 'Object Oriented Programming Fundamentals']",0
I am interested in learning about Techno-economic Assessment for Renewable Energy System and its applications.,"['Introduction to Medical Information System', 'Data Visualization', 'Techno-economic Assessment for Renewable Energy System']",1
I want to work on projects related to Fault Tolerance.,"['Statistical Analysis', 'Information and Data Analytics', 'Fault Tolerance']",1
I want to work on projects related to Luminescence dosimetry.,"['Energy & Fuel', 'Digital image processing and computer vision', 'Environmental Science']",0
I am excited to explore the latest advancements in Speech Recognition.,"['Augmented Reality', 'Mobile Technology with Learning Disabilities People', 'Speech Recognition']",1
I am interested in learning about Advanced Business Analytics and Visualization and its applications.,"['Energy Management Algorithm', 'NLP', 'High-speed computer and Telecommunications networks']",0
"I am interested in learning about Project Preparation, Planning and Problem Solving and its applications.","['Virtual and Modular Electronic Instrumentation and Measurement', 'Information and Data Analytics', 'Project Preparation, Planning and Problem Solving']",1
I want to gain hands-on experience in Carbon dioxide capture and utilisation.,"['Industrial Internet of Things', 'Brain Computer Interface', 'Carbon dioxide capture and utilisation']",1
I want to contribute to innovative solutions in Logic Design and Computer System Engineering.,"['Processor Design', 'Semantic Web', 'Data Science']",0
I am eager tuild a career in Low carbon cements.,"['Hardware Oriented Computing', 'Internet of Things, Big-Data, Cloud Computing, and Data Center Networking', 'Low carbon cements']",1
I am eager tuild a career in Formal Methods in Software Engineering.,"['NLP', '3D Printing of Green Polymers and Green Concrete', 'Formal Methods in Software Engineering']",1
I want to gain hands-on experience in Application of Machine Learning and Deep Learning.,"['Nanofluids', 'Chemistry I', 'Application of Machine Learning and Deep Learning']",1
I am looking to enhance my skills in Mechanical Engineering.,"['Structural dynamics', 'Sensors and Instrumentation', 'Mechanical Engineering']",1
I want to work on projects related to Wireless sensor networks.,"['Computational intelligence', 'Sustainable Value Chain', 'Electrochromic Supercapacitor']",0
I am passionate about Electrochemical energy storage and conversion and want to explore more in this field.,"['Python Programming', 'Electromagnetic Theory', 'Housing Design']",0
I want to contribute to innovative solutions in Human-Computer Interaction / Future Interaction Design.,"['CO2 capture and utilization technology (adsorption process and electrochemical)', 'Mechanical Engineering', 'Human-Computer Interaction / Future Interaction Design']",1
I am excited to explore the latest advancements in Generative AI ethics and management.,"['Hydrological Cycle Analysis', 'Renewable Energy Conversion and Integrations', 'Communication systems']",0
I am fascino collaborate on research in Research Project.,"['Thin Film Nanomaterials', 'IoT Security, Privacy and ML', 'Research Project']",1
I want to gain hands-on experience in Computer Systems Engineering.,"['Catalysis', 'Engineering Education', 'Radiation dosimetry']",0
I am passionate about Carbon capture in construction materials and want to explore more in this field.,"['Radioanalytical techniques for characterisation of media', 'Big Data Analytics in the Cloud', 'Networks']",0
I want to work on projects related to Individual Research Project..,"['Data Science, Cloud Solutions, R for Data Science, Big Data', 'Advanced Computer Networks', 'Individual Research Project.']",1
I am eager tuild a career in Nanomaterial for Ultrashort Fiber Laser.,"['Energy Management Algorithm', 'Space Exploration', 'Nanomaterial for Ultrashort Fiber Laser']",1
I want to bated by Sensor Technology and its potential to solve real-world problems.,"['Microprocessor Technology', 'Electrical actuators, sensors and drives', 'Sensor Technology']",1
"I am eager tuild a career in e-learning, e-commerce, e-health, games, Art & Design.","['Agro-industrial system optimisation', 'Blockchain', 'e-learning, e-commerce, e-health, games, Art & Design']",1
I am eager tuild a career in Web Fundamentals and Programming.,"['Software Development and Education Research', 'VR & AR', 'Web Fundamentals and Programming']",1
I want to contribute to innovative solutions in Sustainable Value Chain.,"['Consumers Electronics System Design', 'Capstone Project', 'Built Environment']",0
I want to contribute to innovative solutions in Research Project.,"['Human-Robot Interaction', 'e-learning, e-commerce, e-health, games, Art & Design', 'Energy and environmental physics']",0
I am interested in learning about Financial Technology and its applications.,"['Control Systems Engineering', 'Web Development, Capstone Project', 'Energy Management Algorithm']",0
I want to contribute to innovative solutions in Supply Chain Management.,"['Material and energy balances', 'Power Electronics', 'Supply Chain Management']",1
